1girl,0,4114588,"1girls,sole_female,1_个女人,1个女孩"
solo,0,3426446,"female_solo,solo_female,单人"
highres,5,3008413,"high_res,high_resolution,hires,高分辨率"
long_hair,0,2898315,"longhair,长发"
commentary_request,5,2610959,"评论请求"
breasts,0,2252741,"boobs,breast,breats,oppai,tits,胸部,乳房"
looking_at_viewer,0,2017032,"pov_eye_contact,看着镜头,看向阅图者,看着观众"
blush,0,1987494,"blushing,flush,flushed,脸红,脸红的"
smile,0,1847264,":),:},smiling,微笑"
short_hair,0,1530601,"short-hair,shorthair,短发"
open_mouth,0,1521316,"mouth_open,张开嘴,张口"
bangs,0,1446592,"刘海"
blue_eyes,0,1192965,"blueeyes,light_blue_eyes,蓝色眼睛,蓝眼,蓝眼睛"
multiple_girls,0,1097189,"多个女孩"
skirt,0,1072680,"短裙,裙子"
blonde_hair,0,1070839,"blond,blond_hair,blonde,blondehair,gold_hair,yellow_hair,金发"
large_breasts,0,1051375,"big_breasts,large_boobs,large_breast,large_tits,大胸_(D),大乳房"
brown_hair,0,1046479,"brown-hair,brownhair,brunette,chocolate_hair,棕发,茶发,棕色头发"
simple_background,0,1033328,"简单背景/无背景,简单的背景"
shirt,0,956884,"shirt_only,shirts,衬衫"
black_hair,0,951555,"black-hair,blackhair,dark_hair,黑发"
hair_ornament,0,909358,"hair_accessories,hair_accessory,hair_decs,hair_ornaments,头饰,发饰"
absurdres,5,889451,"insaneres,very_high_resolution,超高分辨率,荒谬"
red_eyes,0,874986,"red_eye,redeyes,红色眼睛,红眼,红眼睛"
thighhighs,0,871535,"naked_thighhighs,nude_thighhighs,stocking,stockings,thigh_highs,thighhgihs,thighhigh,thighhighs_only,thighhigs,thighighs,长筒袜,过膝袜"
hat,0,860554,"帽子"
gloves,0,859727,"glove,手套"
1boy,0,852461,"1boys,sole_male,1_个男人,1男"
bad_id,5,850533,"bad_skeb_id,错误的_ID"
long_sleeves,0,847925,"long_sleeve,长袖"
white_background,0,842744,"白色背景"
dress,0,813386,"连衣裙"
original,3,800843,"original_character,原创,原版"
ribbon,0,776028,"ribbons,丝带"
bow,0,773755,"bows,蝴蝶结,弓"
touhou,3,769563,"toho,东方"
navel,0,762061,"belly_button,bellybutton,肚脐"
bad_pixiv_id,5,714106,"坏的_pixiv_id"
2girls,0,713683,"2_girls,2girl,2_个女人,两女"
photoshop_(medium),5,702997,"Photoshop(中)"
